DOMAIN ADAPTATION,task
FINITE STATE MACHINES,algorithm
MORPHOLOGY,task
MULTI-WORD EXPRESSIONS,task
SENTIMENT ANALYSIS,task
TREES,algorithm
REINFORCEMENT LEARNING,algorithm
SVMs,algorithm
LINEAR PROGRAMMING,algorithm
ARGUMENT MINING,task
TABLES/FIGURES?,
TOPIC MODELS,algorithm
CLUSTERING,algorithm
LANGUAGE ACQUISITION/SIMPLIFICATION,task
GENERATION,task
NAMED ENTITY RECOGNITION,task
DISCOURSE SEGMENTATION,task
EVENTS/TEMPORAL,task
MACHINE TRANSLATION,task
PHONOLOGY,task
STYLISTICS,task
POS TAGGING/STATISTICAL PARSING,task
UNIFICATION,task
LANGUAGE MODELS (CLASSICAL),task
TEXTUAL ENTAILMENT,task
BIOMEDICAL,task
ANAPHORA/COREFERENCE RESOLUTION,task
META,
DEPENDENCY PARSING,algorithm
DATABASE/RESOURCE?,
SOCIAL MEDIA/WEB DATA,data
SUMMARIZATION,task
SPELLING CORRECTION,task
METRICS?,
EVALUATION/ANNOTATION,task
SEMANTIC ROLE LABELING,task
DISCOURSE,task
?,
SYNTACTICAL STRUCTURE,task
VECTOR SPACE/SEMANTIC SIMILARITY,task
LEARNING,algorithm
PROBABILISTIC,algorithm
?,
STATISTICAL MACHINE TRANSLATION,task,algorithm
FRENCH,
SYNTACTIC STRUCTURE,task
TRANSFER LEARNING,algorithm
ANNOTATION,task
SPEECH RECOGNITION,task
POS TAGGING/CHUNKING,task
LEXICONS,data
CONSTITUENT PARSING,algorithm
MULTILINGUALITY,task
UNSUPERVISED LEARNING,algorithm
RANKING,algorithm
EMBEDDINGS,algorithm
PLAN-BASED DIALOGUE,task,algorithm
QUESTION ANSWERING,task
?,
EVENT EXTRACTION,task
GRAMMARS,algorithm
LOGICAL FORMS,algorithm
Nothing,
KNOWLEDGE BASE,data
?,
INFORMATION EXTRACTION?,task
HUMAN-COMPUTER INTERACTION/APPLICATION,task
DISAMBIGUATION,task
GRAPHS/ABSTRACT MEANING REPRESENTATION,algorithm
NEURAL NETWORKS/DEEP LEARNING,algorithm
NARRATIVES,task
ONTOLOGIES,algorithm
PREDICTION,task
QUANTITATIVE ANALYSIS/TEXT MINING,algorithm
VISION/MULTIMODAL,task
MACHINE TRANSLATION (STATISTICAL),task,algorithm
CROSS-LINGUAL/PARALLEL CORPORA,data
SYNTACTIC STRUCTURE,task
NEURAL MACHINE TRANSLATION,task,algorithm
RECURRENT NEURAL NETWORKS,algorithm
COMPLEXITY ANALYSIS,task
OPINION MINING,task
TWITTER/SOCIAL MEDIA,data
TRANSLITERATION,task
DICTIONARIES,data
RELATION EXTRACTION,task
HISTORICAL LINGUISTICS,task
WORDNET/DISAMBIGUATION,task,algorithm
DEPENDENCY PARSING,algorithm
INFORMATION RETRIEVAL,task
COMBINATORY CATEGORICAL GRAMMAR/SUPERTAGGING,algorithm
ASIAN LANGUAGES,task
CLASSIFICATION,task
SEQUENCE ANALYSIS,algorithm
FRAME SEMANTICS,algorithm
GRAPH-BASED METHODS,algorithm
GERMAN,
CONSTITUENT PARSING,algorithm
NEWS ARTICLES,data
SCENE DESCRIPTION,task
